,,,,,,,
,SEPAK BOLA,,,,,,
,No,Nama Lapangan,Kota,Lokasi ,Rentang Harga,Fasilitas,Image Address
,1.,Homeground Puri Kembangan,Jakarta,"Jl. Kembangan Utara, Kembangan Utara, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610",650.000/sesi,"1. Cafe dan Resto
2. Tribun Penonton
3. Parkir Motor
4. Toilet 
5. Shower
6. Mushalla","https://asset.ayo.co.id/image/venue-field/168920271870020.image_cropper_1689202476537.jpg

https://gelora-public-storage.s3-ap-southeast-1.amazonaws.com/upload/public-20220902070929.jpg"
,2.,Uni Jebreeetmedia Arena,Bandung,"Jl. Baturaden Raya No.28, Mekarjaya, Kec. Rancasari, Kota Bandung, Jawa Barat 40287",750.000/sesi,"1. Ruang Makan
2. Tribun Penonton
3. Parkir Motor
4. Toilet 
5. Shower
6. Mushalla","https://unijebreeetmediaarena.com/themes/assets/slider/slider1.jpg

https://asset.ayo.co.id/image/venue/169804714772075.image_cropper_1698047404909_large.jpg"
,3.,Maxs Sport Center,Tangerang,"Jl. Raya Kota Sutera No.Kav. 1, Sindangsari, Kec. Ps. Kemis, Kabupaten Tangerang, Banten 15560",500.000/sesi,"1. Jual Minuman
2. Tribun Penonton
3. Parkir Motor
4. Toilet 
5. Shower
6. Mushalla","https://asset.ayo.co.id/image/venue/175524528256975.image_cropper_1755244999009.jpg_large.jpeg


https://asset.ayo.co.id/image/venue/174538672164702.image_cropper_1745386681108.jpg.jpeg"
,4.,Stadion Brawijaya,Surabaya,"jl. brawijaya no. 42 a sawunggaling, kecamatan wonokromo, surabaya",1.000.000/sesi,"1. Tribun Penonton
2. Parkir Motor
3. Toilet 
4. Shower","https://assets.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/jawapos/2020/01/stadion-brawijaya-kediri-4.jpg

https://asset.ayo.co.id/image/venue/169563092222990.image_cropper_1695630912949_large.jpg
"
,5.,Bosowa Sport Center,Makassar,Jl. Teuku Umar Raya No. 15 (Bosowa Sport Center),2.000.000/sesi,"1. Jual Minuman
2. Tribun Penonton
3. Parkir Motor
4. Toilet 
","https://asset.ayo.co.id/image/venue/175757658320602.image_cropper_02F63E37-6FA4-4634-9708-4DAAD2DDA7F0-6579-00000E6FBA2A7BFA.jpg_large.jpeg

https://asset.ayo.co.id/image/venue/175757658199579.image_cropper_AEC9C334-B6C9-49D8-A0B3-D1191F16F0F8-6579-00000E6FB27BF60F.jpg.jpeg"
,6.,Stadion Mandala Krida,Jogja,"Jl. Kenari No.6, Semaki, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55166","3.000.000,-/3 jam","1. Jual Minuman
2. Tribun Penonton
3. Parkir Motor
4. Toilet ","https://pict.sindonews.net/dyn/850/pena/news/2020/11/30/13/250344/ini-rincian-proyek-stadion-mandala-krida-diy-yang-disidik-kpk-vhj.jpg

https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQeYixUR94S9lofZX8LB80LcQZ3dSljRqpXCw&s"
,7.,Bali United Training Center,Denpasar,"Jl. Baypass IB Mantra, Pantai Purnama, Sukawati, Gianyar, Bali",1.250.000/Sesi,"1. Jual Minuman
2. Tribun Penonton
3. Parkir Motor
4. Toilet ",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/70/2024/03/04/TC-bali-united-2857950921.jpg
,8.,Stadion Gelora Sriwijaya,Palembang,"Jl. Gubernur HA Bastari, Jakabaring, Palembang, Sumatera Selatan, Indonesia","11.000.000,-/2 Jam","1. Jual Minuman
2. Tribun Penonton
3. Parkir Motor
4. Toilet ","https://assetd.kompas.id/-suV2wjiWzDMzj2dGn9Xk25hEnQ=/fit-in/1024x720/filters:format(webp):quality(80):watermark(https://cdn-content.kompas.id/umum/kompas_main_logo.png,-16p,-13p,0)/https://asset.kgnewsroom.com/photo/pre/2023/03/24/ec4d4221-799f-47ee-8537-1b72e18f5f74_jpg.jpg

https://cdn-1.timesmedia.co.id/images/2022/07/15/Gelora-Sriwijaya-Jakabaring.jpg"
,9.,UNWAHAS STADIUM,Semarang,"Komplek Unwahas, Jl. Raya Gn. Pati No.KM 15, Nongkoswait, Kec. Gn. Pati, Kota Semarang, Jawa Tengah",1.400.000/Sesi,"1. Jual Minuman
2. Tribun Penonton
3. Parkir Motor
4. Toilet ","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbqMGJ2RY8AVdlAW2VTkc8GxiSAO_r1JdWwg&s

https://gelora-public-storage.s3-ap-southeast-1.amazonaws.com/upload/public-20220804060702.jpg"
,10.,Premier Soccer,Medan,"Komplek mmtc, Blk. A Jl. Williem Iskandar, Kenangan Baru, Kec. Percut Sei Tuan, Kabupaten Deli Serdang, Sumatera Utara 20371",310.000/Sesi,"1. Jual Minuman
2. Tribun Penonton
3. Parkir Motor
4. Toilet ","https://asset.ayo.co.id/image/venue/172752799552774.image_cropper_1727527520580_large.jpg


https://asset.ayo.co.id/image/venue/172639507048103.image_cropper_1726395039367.jpg"